id,engineManufacturerId,name,fullName,capacity,configuration,aspiration
cosworth-ca2010-24-v8,cosworth,CA2010,Cosworth CA2010 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
ferrari-275-33-v12,ferrari,275,Ferrari 275 3.3 V12,3.3,V12,NATURALLY_ASPIRATED
cosworth-ck2004-30-v10,cosworth,CK2004,Cosworth CK2004 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
mercedes-m08-16-v6-t-h,mercedes,M08,Mercedes M08 EQ Power+ 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
mercedes-fo-110j-30-v10,mercedes,FO 110J,Mercedes FO 110J 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-047-30-v10,ferrari,39,Ferrari 047 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
honda-ra000e-30-v10,honda,RA000E,Honda RA000E 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
climax-fwmv-15-v8,climax,FWMV,Climax FWMV 1.5 V8,1.5,V8,NATURALLY_ASPIRATED
honda-ra619h-16-v6-t-h,honda,RA619H,Honda RA619H 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
honda-ra003e-30-v10,honda,RA003E,Honda RA003E 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ford-hba8-35-v8,ford,HBA8,Ford HBA8 3.5 V8,3.5,V8,NATURALLY_ASPIRATED
renault-rs3c-35-v10,renault,RS3C,Renault RS3C 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
mercedes-amg-f1-m14-16-v6-t-h,mercedes,AMG F1 M14,Mercedes-AMG F1 M14 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
honda-ra806e-24-v8,honda,RA806E,Honda RA806E 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
renault-rs5-35-v10,renault,RS5,Renault RS5 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
ferrari-171-24-v6,ferrari,171,Ferrari 171 2.4 V6,2.4,V6,NATURALLY_ASPIRATED
mercedes-fo-110m-30-v10,mercedes,FO 110M,Mercedes FO 110M 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
gordini-25-25-l8,gordini,25,Gordini 25 2.5 L8,2.5,L8,NATURALLY_ASPIRATED
honda-ra109e-35-v10,honda,RA109E,Honda RA109E 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
ford-edb-30-v8,ford,EDB,Ford EDB 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
maserati-6-1500-15-l4,maserati,6-1500,Maserati 6-1500 1.5 L4,1.5,L4,NATURALLY_ASPIRATED
vanwall-254-25-l4,vanwall,254,Vanwall 254 2.5 L4,2.5,L4,NATURALLY_ASPIRATED
ferrari-553-20-l4,ferrari,553,Ferrari 553 2.0 L4,2.0,L4,NATURALLY_ASPIRATED
renault-rs1-35-v10,renault,RS1,Renault RS1 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
brm-p56-15-v8,brm,P56,BRM P56 1.5 V8,1.5,V8,NATURALLY_ASPIRATED
maserati-9-f1-30-v12,maserati,9/F1,Maserati 9/F1 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
ford-cosworth-dfy-30-v8,ford,Cosworth DFY,Ford Cosworth DFY 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
renault-rs7-30-v10,renault,RS7,Renault RS7 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
mugen-honda-mf-301-30-v10,mugen-honda,MF-301,Mugen-Honda MF-301 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
mugen-honda-mf-351h-35-v10,mugen-honda,MF-351H,Mugen-Honda MF-351H 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
peugeot-a18-30-v10,peugeot,A18,Peugeot A18 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
osca-2000-20-l6,osca,2000,OSCA 2000 2.0 L6,2.0,L6,NATURALLY_ASPIRATED
maserati-250f1-25-l6,maserati,250F1,Maserati 250F1 2.5 L6,2.5,L6,NATURALLY_ASPIRATED
gordini-23-25-l6,gordini,23,Gordini 23 2.5 L6,2.5,L6,NATURALLY_ASPIRATED
lancia-ds50-25-v8,lancia,DS50,Lancia DS50 2.5 V8,2.5,V8,NATURALLY_ASPIRATED
ford-cosworth-dfr-35-v8,ford,Cosworth DFR,Ford Cosworth DFR 3.5 V8,3.5,V8,NATURALLY_ASPIRATED
matra-ms72-30-v12,matra,MS72,Matra MS72 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
ferrari-044-1-30-v12,ferrari,044/1,Ferrari 044/1 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
honda-ra122e-35-v12,honda,RA122E,Honda RA122E 3.5 V12,3.5,V12,NATURALLY_ASPIRATED
ferrari-040-35-v12,ferrari,32,Ferrari 040 3.5 V12,3.5,V12,NATURALLY_ASPIRATED
mugen-honda-mf-301hb-30-v10,mugen-honda,MF-301HB,Mugen-Honda MF-301HB 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
subaru-1235-35-f12,subaru,1235,Subaru 1235 3.5 F12,3.5,F12,NATURALLY_ASPIRATED
ferrari-056-2007-24-v8,ferrari,056 2007,Ferrari 056 2007 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
renault-e-tech-20-16-v6-t-h,renault,E-Tech 20,Renault E-Tech 20 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
honda-ra621h-16-v6-t-h,honda,RA621H,Honda RA621H 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
weslake-58-30-v12,weslake,58,Weslake 58 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
osca-20-l4,osca,OSCA,OSCA 2.0 L4,2.0,L4,NATURALLY_ASPIRATED
ferrari-228-24-v6,ferrari,228,Ferrari 228 2.4 V6,2.4,V6,NATURALLY_ASPIRATED
petronas-05a-30-v10,petronas,05A,Petronas 05A 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-062-evo-16-v6-t-h,ferrari,062 EVO,Ferrari 062 EVO 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
scarab-25-l4,scarab,Scarab,Scarab 2.5 L4,2.5,L4,NATURALLY_ASPIRATED
ferrari-046-2-30-v10,ferrari,046/2,Ferrari 046/2 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
lamborghini-3512-35-v12,lamborghini,3512,Lamborghini 3512 3.5 V12,3.5,V12,NATURALLY_ASPIRATED
tag-heuer-f1-2018-16-v6-t-h,tag-heuer,F1-2018,TAG Heuer F1-2018 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
alta-f2-20-l4,alta,F2,Alta F2 2.0 L4,2.0,L4,NATURALLY_ASPIRATED
renault-rs9-30-v10,renault,RS9,Renault RS9 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-060-16-v6-t-h,ferrari,48,Ferrari 060 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
ford-406-30-v8,ford,406,Ford 406 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
de-tomaso-15-f8,de-tomaso,De Tomaso,De Tomaso 1.5 F8,1.5,F8,NATURALLY_ASPIRATED
ferrari-032-15-v6-t,ferrari,26,Ferrari 032 1.5 V6 T,1.5,V6,TURBOCHARGED
ferrari-255c-30-v12,ferrari,255C,Ferrari 255C 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
renault-rs9b-30-v10,renault,RS9B,Renault RS9B 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
hart-830-av7-30-v8,hart,830 AV7,Hart 830 AV7 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
ferrari-001-30-f12,ferrari,1,Ferrari 001 3.0 F12,3.0,F12,NATURALLY_ASPIRATED
ferrari-066-12-16-v6-t-h,ferrari,066/12,Ferrari 066/12 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
ats-100-15-v8,ats,100,ATS 100 1.5 V8,1.5,V8,NATURALLY_ASPIRATED
arrows-a20e-30-v10,arrows,A20E,Arrows A20E 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
petronas-spe-04a-30-v10,petronas,SPE-04A,Petronas SPE-04A 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
honda-ra005e-30-v10,honda,RA005E,Honda RA005E 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
renault-rs3-35-v10,renault,RS3,Renault RS3 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
