id,name,fullName,shortName,abbreviation,countryId
europe,Europe,European Grand Prix,European GP,EUR,
brazil,Brazil,Brazilian Grand Prix,Brazilian GP,BRA,brazil
turkey,Turkey,Turkish Grand Prix,Turkish GP,TUR,turkey
saudi-arabia,Saudi Arabia,Saudi Arabian Grand Prix,Saudi Arabian GP,SAU,saudi-arabia
luxembourg,Luxembourg,Luxembourg Grand Prix,Luxembourg GP,LUX,luxembourg
china,China,Chinese Grand Prix,Chinese GP,CHN,china
singapore,Singapore,Singapore Grand Prix,Singapore GP,SGP,singapore
sakhir,Sakhir,Sakhir Grand Prix,Sakhir GP,SAK,bahrain
sao-paulo,São Paulo,São Paulo Grand Prix,São Paulo GP,SAO,brazil
russia,Russia,Russian Grand Prix,Russian GP,RUS,russia
